interview__key,interview__id,ip1,q1,sssys_irnd,has__errors,interview__status,assignment__id,Code_secteur,q2,q3,q4,q5,q6,q7,q8,q10,q11,q12,q13,q14,sexe,ministere,initiative,structure,repondant
00000000001,00000000000000000000000001,IP1,2023,.029736258,0,115,2001,3,Non,Oui,Non,,Non,,Non,,Recommandation principale 1,Non,,,Femme,Ministère 15,Initiative 1,Structure 11,Répondant 1
00000000002,00000000000000000000000002,IP2,2001,.74094123,0,109,2007,5,Non,Oui,Non,,Non,,Non,,Recommandation principale 2,Oui,Non,Non,Femme,Ministère 2,Initiative 2,Structure 2,Répondant 2
00000000003,00000000000000000000000003,IP3,2020,.0053853435,0,111,2054,1,Oui,Non,Non,,Oui,1758,Oui,97%,Recommandation principale 3,Non,,,Homme,Ministère 4,Initiative 3,Structure 6,Répondant 3
00000000004,00000000000000000000000004,IP4,2022,.35397917,0,111,2084,9,Oui,Oui,Non,,Oui,3314,Oui,51%,Recommandation principale 4,Non,,,Homme,Ministère 13,Initiative 4,Structure 13,Répondant 4
00000000005,00000000000000000000000005,IP5,2024,.26299483,0,122,2100,8,Non,Non,Oui,Changement important observé - cas 5,Non,,Oui,62%,Recommandation principale 5,Oui,Oui,Non,Homme,Ministère 2,Initiative 5,Structure 3,Répondant 5
00000000006,00000000000000000000000006,IP6,2001,.60395253,0,129,1959,6,Oui,Oui,Oui,Changement important observé - cas 6,Non,,Oui,54%,Recommandation principale 6,Oui,Partiellement,Oui,Homme,Ministère 4,Initiative 6,Structure 6,Répondant 6
00000000007,00000000000000000000000007,IP7,2007,.20523727,0,123,2061,1,Non,Oui,Oui,Changement important observé - cas 7,Non,,Oui,68%,Recommandation principale 7,Non,,,Femme,Ministère 11,Initiative 7,Structure 13,Répondant 7
00000000008,00000000000000000000000008,IP8,2010,.23882012,0,129,1963,9,Oui,Non,Oui,Changement important observé - cas 8,Oui,505,Non,,Recommandation principale 8,Non,,,Homme,Ministère 9,Initiative 8,Structure 1,Répondant 8
00000000009,00000000000000000000000009,IP9,2012,.42871422,0,102,2041,4,Non,Non,Oui,Changement important observé - cas 9,Non,,Non,,Recommandation principale 9,Non,,,Homme,Ministère 7,Initiative 9,Structure 20,Répondant 9
00000000010,00000000000000000000000010,IP10,2008,.28175703,0,130,2043,4,Oui,Non,Oui,Changement important observé - cas 10,Oui,3821,Non,,Recommandation principale 10,Oui,Non,Partiellement,Femme,Ministère 12,Initiative 10,Structure 18,Répondant 10
00000000011,00000000000000000000000011,IP11,2010,.53426605,0,128,2051,5,Non,Non,Non,,Oui,113,Oui,70%,Recommandation principale 11,Oui,Non,Oui,Femme,Ministère 7,Initiative 11,Structure 3,Répondant 11
00000000012,00000000000000000000000012,IP12,2021,.31245741,0,109,1995,4,Oui,Oui,Oui,Changement important observé - cas 12,Oui,4648,Oui,79%,Recommandation principale 12,Non,,,Femme,Ministère 6,Initiative 12,Structure 13,Répondant 12
00000000013,00000000000000000000000013,IP13,2021,.022438847,0,124,2093,2,Oui,Oui,Non,,Non,,Non,,Recommandation principale 13,Non,,,Femme,Ministère 7,Initiative 13,Structure 18,Répondant 13
00000000014,00000000000000000000000014,IP14,2014,.25029966,0,117,1992,7,Non,Non,Non,,Non,,Oui,77%,Recommandation principale 14,Non,,,Femme,Ministère 15,Initiative 14,Structure 7,Répondant 14
00000000015,00000000000000000000000015,IP15,2002,.51510024,0,116,2074,3,Non,Oui,Non,,Non,,Oui,57%,Recommandation principale 15,Oui,Oui,Partiellement,Femme,Ministère 15,Initiative 15,Structure 10,Répondant 15
00000000016,00000000000000000000000016,IP16,2023,.012524684,0,119,1993,4,Oui,Oui,Oui,Changement important observé - cas 16,Non,,Oui,62%,Recommandation principale 16,Non,,,Homme,Ministère 3,Initiative 16,Structure 6,Répondant 16
00000000017,00000000000000000000000017,IP17,2023,.47084606,0,112,2020,5,Oui,Oui,Non,,Oui,4002,Non,,Recommandation principale 17,Oui,Partiellement,Non,Femme,Ministère 14,Initiative 17,Structure 16,Répondant 17
00000000018,00000000000000000000000018,IP18,2000,.12315041,0,115,2084,9,Oui,Oui,Non,,Non,,Non,,Recommandation principale 18,Non,,,Homme,Ministère 3,Initiative 18,Structure 7,Répondant 18
00000000019,00000000000000000000000019,IP19,2012,.9091444,0,130,1962,9,Non,Oui,Non,,Non,,Oui,59%,Recommandation principale 19,Oui,Oui,Oui,Femme,Ministère 8,Initiative 19,Structure 8,Répondant 19
00000000020,00000000000000000000000020,IP20,2018,.84060687,0,103,2080,7,Non,Non,Non,,Oui,1146,Non,,Recommandation principale 20,Oui,Oui,Partiellement,Homme,Ministère 13,Initiative 20,Structure 20,Répondant 20
00000000021,00000000000000000000000021,IP21,2012,.98352647,0,122,1978,5,Non,Oui,Non,,Oui,1537,Oui,51%,Recommandation principale 21,Oui,Partiellement,Partiellement,Homme,Ministère 14,Initiative 21,Structure 8,Répondant 21
00000000022,00000000000000000000000022,IP22,2023,.46525538,0,123,2026,6,Non,Oui,Non,,Oui,935,Non,,Recommandation principale 22,Oui,Oui,Partiellement,Homme,Ministère 10,Initiative 22,Structure 18,Répondant 22
00000000023,00000000000000000000000023,IP23,2002,.97045594,0,110,2037,9,Oui,Oui,Oui,Changement important observé - cas 23,Non,,Non,,Recommandation principale 23,Oui,Non,Non,Femme,Ministère 10,Initiative 23,Structure 18,Répondant 23
00000000024,00000000000000000000000024,IP24,2010,.60415143,0,103,2095,8,Non,Non,Oui,Changement important observé - cas 24,Oui,1867,Non,,Recommandation principale 24,Oui,Partiellement,Non,Homme,Ministère 13,Initiative 24,Structure 10,Répondant 24
00000000025,00000000000000000000000025,IP25,2011,.0067525464,0,123,1990,2,Oui,Non,Oui,Changement important observé - cas 25,Non,,Non,,Recommandation principale 25,Non,,,Femme,Ministère 11,Initiative 25,Structure 18,Répondant 25
00000000026,00000000000000000000000026,IP26,2020,.90592593,0,121,2053,7,Non,Non,Non,,Non,,Oui,54%,Recommandation principale 26,Non,,,Femme,Ministère 6,Initiative 26,Structure 14,Répondant 26
00000000027,00000000000000000000000027,IP27,2016,.60610521,0,122,1974,3,Non,Oui,Non,,Oui,3155,Oui,62%,Recommandation principale 27,Oui,Partiellement,Partiellement,Femme,Ministère 12,Initiative 27,Structure 19,Répondant 27
00000000028,00000000000000000000000028,IP28,2013,.89033955,0,129,2032,3,Non,Non,Oui,Changement important observé - cas 28,Oui,4743,Oui,93%,Recommandation principale 28,Oui,Non,Partiellement,Femme,Ministère 5,Initiative 28,Structure 11,Répondant 28
00000000029,00000000000000000000000029,IP29,2005,.44449604,0,120,2069,6,Non,Non,Non,,Non,,Non,,Recommandation principale 29,Oui,Non,Oui,Femme,Ministère 8,Initiative 29,Structure 2,Répondant 29
00000000030,00000000000000000000000030,IP30,2018,.54530418,0,109,1951,6,Non,Non,Oui,Changement important observé - cas 30,Non,,Oui,53%,Recommandation principale 30,Non,,,Femme,Ministère 1,Initiative 30,Structure 17,Répondant 30
00000000031,00000000000000000000000031,IP31,2012,.27531648,0,110,1986,5,Oui,Non,Oui,Changement important observé - cas 31,Oui,4673,Non,,Recommandation principale 31,Oui,Oui,Non,Homme,Ministère 8,Initiative 31,Structure 17,Répondant 31
00000000032,00000000000000000000000032,IP32,2012,.36485347,0,128,2008,8,Oui,Non,Non,,Oui,2892,Oui,68%,Recommandation principale 32,Non,,,Homme,Ministère 9,Initiative 32,Structure 15,Répondant 32
00000000033,00000000000000000000000033,IP33,2008,.6844517,0,121,2008,5,Oui,Non,Oui,Changement important observé - cas 33,Non,,Oui,88%,Recommandation principale 33,Non,,,Femme,Ministère 14,Initiative 33,Structure 13,Répondant 33
00000000034,00000000000000000000000034,IP34,2003,.032323606,0,129,2035,5,Oui,Non,Non,,Oui,1186,Oui,80%,Recommandation principale 34,Oui,Partiellement,Non,Homme,Ministère 3,Initiative 34,Structure 11,Répondant 34
00000000035,00000000000000000000000035,IP35,2003,.95788234,0,122,1951,5,Oui,Oui,Non,,Non,,Non,,Recommandation principale 35,Non,,,Femme,Ministère 4,Initiative 35,Structure 2,Répondant 35
00000000036,00000000000000000000000036,IP36,2019,.24701238,0,116,2066,2,Oui,Oui,Non,,Oui,2919,Oui,73%,Recommandation principale 36,Oui,Non,Partiellement,Homme,Ministère 6,Initiative 36,Structure 2,Répondant 36
00000000037,00000000000000000000000037,IP37,2016,.46238232,0,122,1991,5,Oui,Oui,Non,,Oui,4344,Oui,68%,Recommandation principale 37,Oui,Non,Partiellement,Homme,Ministère 8,Initiative 37,Structure 14,Répondant 37
00000000038,00000000000000000000000038,IP38,2001,.55771828,0,100,1973,1,Non,Non,Oui,Changement important observé - cas 38,Oui,3513,Non,,Recommandation principale 38,Non,,,Homme,Ministère 9,Initiative 38,Structure 3,Répondant 38
00000000039,00000000000000000000000039,IP39,2002,.41031933,0,109,1994,6,Non,Oui,Non,,Oui,4780,Non,,Recommandation principale 39,Oui,Partiellement,Partiellement,Femme,Ministère 9,Initiative 39,Structure 14,Répondant 39
00000000040,00000000000000000000000040,IP40,2022,.072999433,0,119,1954,2,Non,Oui,Oui,Changement important observé - cas 40,Non,,Non,,Recommandation principale 40,Oui,Non,Partiellement,Femme,Ministère 5,Initiative 40,Structure 6,Répondant 40
00000000041,00000000000000000000000041,IP41,2015,.15594846,0,126,2088,5,Oui,Oui,Oui,Changement important observé - cas 41,Oui,4842,Oui,62%,Recommandation principale 41,Oui,Non,Non,Femme,Ministère 11,Initiative 41,Structure 12,Répondant 41
00000000042,00000000000000000000000042,IP42,2008,.085984513,0,119,2013,5,Oui,Non,Non,,Oui,3412,Oui,80%,Recommandation principale 42,Non,,,Femme,Ministère 5,Initiative 42,Structure 4,Répondant 42
00000000043,00000000000000000000000043,IP43,2023,.3188408,0,123,2035,1,Oui,Non,Non,,Non,,Oui,64%,Recommandation principale 43,Non,,,Homme,Ministère 6,Initiative 43,Structure 14,Répondant 43
00000000044,00000000000000000000000044,IP44,2008,.14935686,0,115,2078,4,Non,Non,Non,,Oui,2736,Oui,71%,Recommandation principale 44,Non,,,Homme,Ministère 11,Initiative 44,Structure 14,Répondant 44
00000000045,00000000000000000000000045,IP45,2017,.31054655,0,129,2014,6,Non,Oui,Oui,Changement important observé - cas 45,Oui,3546,Oui,92%,Recommandation principale 45,Oui,Oui,Non,Homme,Ministère 4,Initiative 45,Structure 19,Répondant 45
00000000046,00000000000000000000000046,IP46,2010,.85662693,0,128,1986,6,Non,Non,Oui,Changement important observé - cas 46,Non,,Oui,90%,Recommandation principale 46,Non,,,Homme,Ministère 7,Initiative 46,Structure 13,Répondant 46
00000000047,00000000000000000000000047,IP47,2018,.41638327,0,114,1954,9,Oui,Non,Oui,Changement important observé - cas 47,Oui,4496,Oui,98%,Recommandation principale 47,Oui,Non,Oui,Homme,Ministère 10,Initiative 47,Structure 5,Répondant 47
00000000048,00000000000000000000000048,IP48,2004,.38493776,0,122,2092,9,Oui,Oui,Oui,Changement important observé - cas 48,Non,,Oui,76%,Recommandation principale 48,Non,,,Homme,Ministère 15,Initiative 48,Structure 3,Répondant 48
00000000049,00000000000000000000000049,IP49,2012,.37430513,0,120,2064,9,Non,Non,Non,,Oui,1124,Non,,Recommandation principale 49,Oui,Partiellement,Partiellement,Homme,Ministère 15,Initiative 49,Structure 9,Répondant 49
00000000050,00000000000000000000000050,IP50,2010,.46649107,0,101,2096,9,Oui,Non,Oui,Changement important observé - cas 50,Oui,1811,Oui,65%,Recommandation principale 50,Oui,Oui,Oui,Homme,Ministère 11,Initiative 50,Structure 12,Répondant 50
00000000051,00000000000000000000000051,IP51,2006,.61382353,0,130,1992,9,Oui,Non,Oui,Changement important observé - cas 51,Non,,Oui,86%,Recommandation principale 51,Non,,,Homme,Ministère 7,Initiative 51,Structure 14,Répondant 51
00000000052,00000000000000000000000052,IP52,2002,.31657335,0,114,2043,6,Non,Non,Non,,Non,,Oui,55%,Recommandation principale 52,Non,,,Homme,Ministère 5,Initiative 52,Structure 17,Répondant 52
00000000053,00000000000000000000000053,IP53,2001,.47607693,0,104,2085,9,Oui,Oui,Non,,Oui,657,Non,,Recommandation principale 53,Oui,Oui,Partiellement,Femme,Ministère 13,Initiative 53,Structure 2,Répondant 53
00000000054,00000000000000000000000054,IP54,2018,.90171945,0,103,2058,3,Oui,Non,Oui,Changement important observé - cas 54,Oui,4374,Non,,Recommandation principale 54,Non,,,Homme,Ministère 8,Initiative 54,Structure 16,Répondant 54
00000000055,00000000000000000000000055,IP55,2020,.2355255,0,114,2040,9,Non,Oui,Non,,Oui,2201,Non,,Recommandation principale 55,Non,,,Homme,Ministère 13,Initiative 55,Structure 8,Répondant 55
00000000056,00000000000000000000000056,IP56,2006,.50175029,0,125,2076,4,Oui,Oui,Non,,Non,,Oui,50%,Recommandation principale 56,Non,,,Homme,Ministère 12,Initiative 56,Structure 18,Répondant 56
00000000057,00000000000000000000000057,IP57,2021,.20208108,0,101,2024,9,Non,Non,Oui,Changement important observé - cas 57,Oui,4462,Non,,Recommandation principale 57,Oui,Partiellement,Partiellement,Homme,Ministère 5,Initiative 57,Structure 9,Répondant 57
00000000058,00000000000000000000000058,IP58,2001,.085212745,0,104,2042,6,Non,Oui,Oui,Changement important observé - cas 58,Non,,Oui,51%,Recommandation principale 58,Non,,,Femme,Ministère 1,Initiative 58,Structure 16,Répondant 58
00000000059,00000000000000000000000059,IP59,2008,.107178,0,106,2026,3,Oui,Non,Oui,Changement important observé - cas 59,Oui,2758,Non,,Recommandation principale 59,Oui,Oui,Non,Femme,Ministère 10,Initiative 59,Structure 11,Répondant 59
00000000060,00000000000000000000000060,IP60,2012,.76541275,0,130,2053,9,Oui,Oui,Non,,Oui,1627,Non,,Recommandation principale 60,Oui,Oui,Oui,Homme,Ministère 9,Initiative 60,Structure 1,Répondant 60
00000000061,00000000000000000000000061,IP61,2003,.51831943,0,116,1998,3,Oui,Non,Oui,Changement important observé - cas 61,Non,,Oui,63%,Recommandation principale 61,Non,,,Femme,Ministère 12,Initiative 61,Structure 14,Répondant 61
00000000062,00000000000000000000000062,IP62,2018,.46687427,0,111,2073,6,Non,Oui,Oui,Changement important observé - cas 62,Non,,Oui,90%,Recommandation principale 62,Non,,,Femme,Ministère 11,Initiative 62,Structure 4,Répondant 62
00000000063,00000000000000000000000063,IP63,2005,.048778407,0,122,1963,3,Oui,Non,Non,,Non,,Non,,Recommandation principale 63,Oui,Oui,Non,Homme,Ministère 13,Initiative 63,Structure 14,Répondant 63
00000000064,00000000000000000000000064,IP64,2004,.42713633,0,126,2083,9,Non,Non,Oui,Changement important observé - cas 64,Non,,Non,,Recommandation principale 64,Non,,,Homme,Ministère 13,Initiative 64,Structure 17,Répondant 64
00000000065,00000000000000000000000065,IP65,2015,.12440018,0,117,1960,9,Oui,Non,Oui,Changement important observé - cas 65,Oui,1685,Oui,98%,Recommandation principale 65,Oui,Partiellement,Oui,Femme,Ministère 5,Initiative 65,Structure 2,Répondant 65
00000000066,00000000000000000000000066,IP66,2004,.021616245,0,106,2050,1,Non,Non,Non,,Non,,Non,,Recommandation principale 66,Oui,Partiellement,Partiellement,Homme,Ministère 6,Initiative 66,Structure 9,Répondant 66
00000000067,00000000000000000000000067,IP67,2005,.18921104,0,122,2034,9,Oui,Non,Non,,Non,,Oui,92%,Recommandation principale 67,Non,,,Homme,Ministère 10,Initiative 67,Structure 16,Répondant 67
00000000068,00000000000000000000000068,IP68,2001,.53562212,0,115,2086,5,Non,Non,Oui,Changement important observé - cas 68,Oui,1663,Non,,Recommandation principale 68,Oui,Oui,Non,Homme,Ministère 4,Initiative 68,Structure 17,Répondant 68
00000000069,00000000000000000000000069,IP69,2011,.53219944,0,130,2051,6,Oui,Oui,Non,,Non,,Non,,Recommandation principale 69,Oui,Non,Partiellement,Homme,Ministère 15,Initiative 69,Structure 13,Répondant 69
00000000070,00000000000000000000000070,IP70,2021,.15294108,0,108,1961,5,Oui,Oui,Oui,Changement important observé - cas 70,Non,,Non,,Recommandation principale 70,Non,,,Femme,Ministère 9,Initiative 70,Structure 16,Répondant 70
00000000071,00000000000000000000000071,IP71,2017,.98693401,0,125,2068,4,Non,Oui,Oui,Changement important observé - cas 71,Oui,1621,Oui,74%,Recommandation principale 71,Oui,Partiellement,Non,Femme,Ministère 10,Initiative 71,Structure 7,Répondant 71
00000000072,00000000000000000000000072,IP72,2012,.90647846,0,105,2077,3,Oui,Oui,Non,,Oui,503,Oui,86%,Recommandation principale 72,Oui,Oui,Non,Femme,Ministère 4,Initiative 72,Structure 18,Répondant 72
00000000073,00000000000000000000000073,IP73,2015,.98017454,0,125,2002,6,Oui,Non,Non,,Oui,3011,Non,,Recommandation principale 73,Non,,,Homme,Ministère 15,Initiative 73,Structure 4,Répondant 73
00000000074,00000000000000000000000074,IP74,2013,.84647667,0,112,2048,1,Non,Oui,Non,,Non,,Oui,98%,Recommandation principale 74,Non,,,Homme,Ministère 3,Initiative 74,Structure 17,Répondant 74
00000000075,00000000000000000000000075,IP75,2020,.79365629,0,102,1989,9,Oui,Non,Oui,Changement important observé - cas 75,Non,,Non,,Recommandation principale 75,Oui,Oui,Partiellement,Femme,Ministère 5,Initiative 75,Structure 7,Répondant 75
00000000076,00000000000000000000000076,IP76,2021,.32429335,0,115,1973,8,Non,Oui,Oui,Changement important observé - cas 76,Non,,Non,,Recommandation principale 76,Oui,Oui,Partiellement,Homme,Ministère 4,Initiative 76,Structure 12,Répondant 76
00000000077,00000000000000000000000077,IP77,2015,.41764507,0,117,2057,5,Oui,Oui,Oui,Changement important observé - cas 77,Non,,Non,,Recommandation principale 77,Non,,,Homme,Ministère 15,Initiative 77,Structure 3,Répondant 77
00000000078,00000000000000000000000078,IP78,2013,.95737964,0,108,1998,6,Non,Non,Oui,Changement important observé - cas 78,Non,,Non,,Recommandation principale 78,Non,,,Homme,Ministère 5,Initiative 78,Structure 6,Répondant 78
00000000079,00000000000000000000000079,IP79,2014,.84347767,0,114,2065,8,Oui,Non,Oui,Changement important observé - cas 79,Oui,3620,Non,,Recommandation principale 79,Oui,Non,Non,Femme,Ministère 8,Initiative 79,Structure 19,Répondant 79
00000000080,00000000000000000000000080,IP80,2020,.35477072,0,104,1996,9,Non,Oui,Oui,Changement important observé - cas 80,Non,,Oui,59%,Recommandation principale 80,Oui,Partiellement,Oui,Femme,Ministère 9,Initiative 80,Structure 16,Répondant 80
00000000081,00000000000000000000000081,IP81,2019,.74739337,0,112,2072,5,Oui,Oui,Oui,Changement important observé - cas 81,Oui,4647,Non,,Recommandation principale 81,Non,,,Femme,Ministère 12,Initiative 81,Structure 10,Répondant 81
00000000082,00000000000000000000000082,IP82,2015,.35489663,0,109,2002,3,Oui,Oui,Oui,Changement important observé - cas 82,Non,,Oui,65%,Recommandation principale 82,Non,,,Homme,Ministère 11,Initiative 82,Structure 15,Répondant 82
00000000083,00000000000000000000000083,IP83,2010,.89462996,0,108,2094,9,Non,Non,Non,,Oui,2364,Non,,Recommandation principale 83,Oui,Non,Non,Homme,Ministère 3,Initiative 83,Structure 18,Répondant 83
00000000084,00000000000000000000000084,IP84,2012,.66923857,0,118,2100,9,Non,Oui,Oui,Changement important observé - cas 84,Non,,Oui,62%,Recommandation principale 84,Non,,,Femme,Ministère 15,Initiative 84,Structure 12,Répondant 84
00000000085,00000000000000000000000085,IP85,2002,.98687929,0,128,2047,9,Non,Oui,Non,,Non,,Oui,94%,Recommandation principale 85,Oui,Partiellement,Non,Homme,Ministère 5,Initiative 85,Structure 9,Répondant 85
00000000086,00000000000000000000000086,IP86,2005,.077141978,0,130,2014,3,Non,Oui,Oui,Changement important observé - cas 86,Oui,1161,Oui,72%,Recommandation principale 86,Non,,,Homme,Ministère 9,Initiative 86,Structure 17,Répondant 86
00000000087,00000000000000000000000087,IP87,2006,.15009995,0,126,2055,1,Non,Oui,Non,,Non,,Non,,Recommandation principale 87,Oui,Oui,Partiellement,Femme,Ministère 9,Initiative 87,Structure 11,Répondant 87
00000000088,00000000000000000000000088,IP88,2019,.5484221,0,109,2007,5,Non,Oui,Non,,Oui,4139,Oui,92%,Recommandation principale 88,Oui,Non,Partiellement,Femme,Ministère 13,Initiative 88,Structure 18,Répondant 88
00000000089,00000000000000000000000089,IP89,2004,.6960454,0,116,2081,8,Oui,Non,Non,,Oui,2866,Oui,73%,Recommandation principale 89,Non,,,Femme,Ministère 11,Initiative 89,Structure 20,Répondant 89
00000000090,00000000000000000000000090,IP90,2002,.4576605,0,129,2079,7,Non,Non,Non,,Non,,Non,,Recommandation principale 90,Non,,,Femme,Ministère 10,Initiative 90,Structure 15,Répondant 90
00000000091,00000000000000000000000091,IP91,2020,.216518,0,126,2005,3,Non,Non,Non,,Oui,781,Oui,75%,Recommandation principale 91,Oui,Oui,Non,Femme,Ministère 11,Initiative 91,Structure 9,Répondant 91
00000000092,00000000000000000000000092,IP92,2000,.25791654,0,114,2029,2,Oui,Oui,Oui,Changement important observé - cas 92,Non,,Oui,69%,Recommandation principale 92,Non,,,Femme,Ministère 11,Initiative 92,Structure 1,Répondant 92
00000000093,00000000000000000000000093,IP93,2011,.64592457,0,113,1972,9,Non,Non,Oui,Changement important observé - cas 93,Non,,Non,,Recommandation principale 93,Oui,Partiellement,Non,Homme,Ministère 13,Initiative 93,Structure 10,Répondant 93
00000000094,00000000000000000000000094,IP94,2024,.58328992,0,113,2015,8,Oui,Non,Non,,Non,,Oui,94%,Recommandation principale 94,Non,,,Homme,Ministère 7,Initiative 94,Structure 20,Répondant 94
00000000095,00000000000000000000000095,IP95,2018,.93831283,0,126,2043,9,Oui,Non,Non,,Non,,Non,,Recommandation principale 95,Oui,Non,Non,Homme,Ministère 4,Initiative 95,Structure 9,Répondant 95
00000000096,00000000000000000000000096,IP96,2018,.49157342,0,103,2061,7,Non,Oui,Oui,Changement important observé - cas 96,Non,,Non,,Recommandation principale 96,Oui,Partiellement,Partiellement,Homme,Ministère 14,Initiative 96,Structure 13,Répondant 96
00000000097,00000000000000000000000097,IP97,2009,.32095638,0,123,2039,9,Non,Non,Oui,Changement important observé - cas 97,Non,,Oui,82%,Recommandation principale 97,Oui,Non,Non,Homme,Ministère 9,Initiative 97,Structure 11,Répondant 97
00000000098,00000000000000000000000098,IP98,2022,.98745149,0,122,2095,6,Oui,Non,Non,,Oui,476,Oui,75%,Recommandation principale 98,Oui,Oui,Oui,Femme,Ministère 11,Initiative 98,Structure 20,Répondant 98
00000000099,00000000000000000000000099,IP99,2000,.51636618,0,102,2098,1,Non,Oui,Oui,Changement important observé - cas 99,Oui,4487,Non,,Recommandation principale 99,Oui,Non,Oui,Homme,Ministère 13,Initiative 99,Structure 20,Répondant 99
00000000100,00000000000000000000000100,IP100,2021,.10560936,0,107,2043,6,Oui,Oui,Non,,Non,,Oui,97%,Recommandation principale 100,Non,,,Homme,Ministère 12,Initiative 100,Structure 10,Répondant 100
